"ARTIKEL","PLAATS","ARTIKELOMSCHRIJVING","MAAT","VOORRAAD","REFERENTIE","BARCODE"
"              181548","VR-01-01","              181548-MERULA-D  S3 ON PU  LRS NAT OFFSH BONT","44","5","106430","8715316021978"
"              181548","VR-01-01","              181548-MERULA-D  S3 ON PU  LRS NAT OFFSH BONT","45","5","106430","8715316021985"
"              181548","VR-01-01","              181548-MERULA-D  S3 ON PU  LRS NAT OFFSH BONT","46","5","106430","8715316021992"
"              334548","VR-01-01","              334548-HIMALAYA-D HG ZW S3 PU/PU OVN ST.PL","40","10","106430","8715316137747"
"              700846","VR-01-01","              700846-PAUL-D LG ZW  S3  PD","44","10","106430","8715316040436"
"              707560","VR-01-01","              707560-SPA-XD LG GR/BL  S2  PU","44","10","106430","8715316043413"
"              720546","VR-01-01","              720546-ROCKY-D LG GRIJS S3  PUR/PUR","43","10","106430","8715316073755"
"              720546","VR-01-01","              720546-ROCKY-D LG GRIJS S3  PUR/PUR","44","10","106430","8715316073762"
"              721566","VR-01-01","              721566-ROCKY-XD LG GRIJS S3  PUR/PUR","44","10","106430","8715316073885"
"              995549","VR-01-01","              995549-CLYDE-D HG ZW ESD PU/PU S3 METAL FREE","40","10","106430","8715316150487"
"              181548","VR-01-02","              181548-MERULA-D  S3 ON PU  LRS NAT OFFSH BONT","44","5","106430","8715316021978"
"              181548","VR-01-02","              181548-MERULA-D  S3 ON PU  LRS NAT OFFSH BONT","46","10","106430","8715316021992"
"              334548","VR-01-02","              334548-HIMALAYA-D HG ZW S3 PU/PU OVN ST.PL","46","10","106430","8715316137808"
"              700548","VR-01-02","              700548-LEO-D LG/ZW S3 OVN  PUR","43","10","106430","8715316053535"
"              714540","VR-01-02","              714540-VENUS-D INST ZW  S2  PU","45","10","106430","8715316047190"
"              730548","VR-01-02","              730548-LUKAS-D HG ZW S3 OVN  PU","43","10","106430","8715316044427"
"              731568","VR-01-02","              731568-LUKAS-XD HG ZW S3 OVN  PU","43","10","106430","8715316044540"
"              731866","VR-01-02","              731866-PATRICK-XD HG ZW   S3  PD","41","10","106430","8715316044762"
"              736540","VR-01-02","              736540-SILVERSTONE-D HG GR/BL  S2  PU","40","10","106430","8715316045370"
"              181548","VR-01-03","              181548-MERULA-D  S3 ON PU  LRS NAT OFFSH BONT","45","5","106430","8715316021985"
"              181548","VR-01-03","              181548-MERULA-D  S3 ON PU  LRS NAT OFFSH BONT","46","5","106430","8715316021992"
"              707560","VR-01-03","              707560-SPA-XD LG GR/BL  S2  PU","44","10","106430","8715316043413"
"              720546","VR-01-03","              720546-ROCKY-D LG GRIJS S3  PUR/PUR","43","10","106430","8715316073755"
"              730548","VR-01-03","              730548-LUKAS-D HG ZW S3 OVN  PU","43","10","106430","8715316044427"
"              730848","VR-01-03","              730848-BILLY-D HG ZW S3  OVN PD","43","10","106430","8715316044908"
"              761562","VR-01-03","              761562-RAILWAY-XD","42","10","106430","8715316151620"
"              761566","VR-01-03","              761566-RANGER-XD HG GRIJS S3  PUR/PUR","41","20","106430","8715316074899"
"              794560","VR-01-03","              794560-VENUS-XD INST ZW S2  PUR","42","10","106430","8715316072543"
"              181548","VR-01-04","              181548-MERULA-D  S3 ON PU  LRS NAT OFFSH BONT","44","10","106430","8715316021978"
"              181548","VR-01-04","              181548-MERULA-D  S3 ON PU  LRS NAT OFFSH BONT","46","5","106430","8715316021992"
"              332546","VR-01-04","              332546-AMAZONE-D HG ZW S3 PU/PU ST.PL","42","10","106430","8715316137013"
